request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_110,22352,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,Baseline selected supplied installment option payment_option_310.
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,Baseline forecast keeps the balance above the minimum after full payment.
request_112,0,not_affordable,not_recommended,none,,none,Baseline found no eligible safe plan within 90 days.
request_113,36500,affordable_now,full_payment,2026-09-04:36500,2026-09-04,none,Baseline forecast keeps the balance above the minimum after full payment.
request_114,65300,affordable_now,full_payment,2026-01-04:65300,2026-01-04,none,Baseline forecast keeps the balance above the minimum after full payment.
request_115,16371.71,affordable_later,wait,2024-10-15:80500,2024-10-15,none,Baseline forecast finds a later safe full-payment date.
request_116,26598.79,not_affordable,not_recommended,none,,none,Baseline found no eligible safe plan within 90 days.
request_117,880,affordable_now,full_payment,2026-07-05:880,2026-07-05,none,Baseline forecast keeps the balance above the minimum after full payment.
request_118,711.48,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2024-12-17,none,Baseline selected supplied installment option payment_option_334.
request_119,0,not_affordable,not_recommended,none,,none,Baseline found no eligible safe plan within 90 days.
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,Baseline forecast keeps the balance above the minimum after full payment.
request_121,633.6,affordable_now,full_payment,2024-03-03:633.6,2024-03-03,none,Baseline forecast keeps the balance above the minimum after full payment.
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,Baseline selected supplied installment option payment_option_347.
request_123,4076000,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,Baseline forecast keeps the balance above the minimum after full payment.
request_124,1648.56,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-06-16,none,Baseline selected supplied installment option payment_option_352.
request_125,6468,affordable_now,full_payment,2025-11-06:6468,2025-11-06,none,Baseline forecast keeps the balance above the minimum after full payment.
request_126,92084.11,not_affordable,not_recommended,none,,none,Baseline found no eligible safe plan within 90 days.
request_127,0,not_affordable,not_recommended,none,,none,Baseline found no eligible safe plan within 90 days.
request_128,25168,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,Baseline forecast keeps the balance above the minimum after full payment.
request_129,146.56,not_affordable,not_recommended,none,,none,Baseline found no eligible safe plan within 90 days.
request_130,496.52,affordable_later,wait,2025-01-17:1978.8,2025-01-17,none,Baseline forecast finds a later safe full-payment date.
request_131,1321.73,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-05-24,none,Baseline selected supplied installment option payment_option_372.
request_132,379.86,affordable_now,full_payment,2026-01-05:379.86,2026-01-05,none,Baseline forecast keeps the balance above the minimum after full payment.
request_133,285894.35,not_affordable,not_recommended,none,,none,Baseline found no eligible safe plan within 90 days.
request_134,7210010.38,affordable_later,wait,2025-08-15:21831000,2025-08-15,none,Baseline forecast finds a later safe full-payment date.
request_135,304.8,affordable_now,full_payment,2026-07-06:304.8,2026-07-06,none,Baseline forecast keeps the balance above the minimum after full payment.
request_136,560.4,affordable_now,full_payment,2024-06-03:560.4,2024-06-03,none,Baseline forecast keeps the balance above the minimum after full payment.
request_137,44395.62,affordable_later,wait,2025-11-15:80100,2025-11-15,none,Baseline forecast finds a later safe full-payment date.
request_138,997.89,affordable_with_plan,partial_payment,2026-04-07:997.89|2026-04-15:259.05,2026-04-15,none,Baseline splits the request across two safe payments.
request_139,2014.67,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-09-15,none,Baseline selected supplied installment option payment_option_395.
request_140,0,not_affordable,not_recommended,none,,none,Baseline found no eligible safe plan within 90 days.
request_141,27657.28,not_affordable,not_recommended,none,,none,Baseline found no eligible safe plan within 90 days.
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.6,2024-12-05,none,Baseline forecast keeps the balance above the minimum after full payment.
request_143,4263.1,affordable_later,wait,2025-06-17:12584,2025-06-17,none,Baseline forecast finds a later safe full-payment date.
request_144,0,not_affordable,not_recommended,none,,none,Baseline found no eligible safe plan within 90 days.
request_145,47305.52,affordable_with_plan,installments,2024-03-20:75365.33|2024-04-20:75365.33|2024-05-21:75365.33,2024-04-18,none,Baseline selected supplied installment option payment_option_412.
request_146,37521.07,affordable_later,wait,2025-10-14:449400,2025-10-14,none,Baseline forecast finds a later safe full-payment date.
request_147,0,not_affordable,not_recommended,none,,none,Baseline found no eligible safe plan within 90 days.
request_148,10386.21,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-06-15,none,Baseline selected supplied installment option payment_option_421.
request_149,25072.14,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-11-15,none,Baseline selected supplied installment option payment_option_424.
request_150,431.36,affordable_with_plan,installments,2026-01-06:171.98|2026-02-05:171.98|2026-03-07:171.98,2026-01-15,none,Baseline selected supplied installment option payment_option_427.
request_151,26999000,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,Baseline forecast keeps the balance above the minimum after full payment.
request_152,13185.27,affordable_with_plan,installments,2025-02-12:4812.43|2025-03-12:4812.43|2025-04-09:4812.43,2025-02-15,none,Baseline selected supplied installment option payment_option_433.
request_153,311.24,not_affordable,not_recommended,none,,none,Baseline found no eligible safe plan within 90 days.
request_154,0,not_affordable,not_recommended,none,,none,Baseline found no eligible safe plan within 90 days.
request_155,49657.17,not_affordable,not_recommended,none,,none,Baseline found no eligible safe plan within 90 days.
request_156,9818.29,affordable_later,wait,2026-05-15:43076,2026-05-15,none,Baseline forecast finds a later safe full-payment date.
request_157,6968905.82,affordable_later,wait,2024-04-18:23503000,2024-04-18,none,Baseline forecast finds a later safe full-payment date.
request_158,242600,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,Baseline selected supplied installment option payment_option_449.
request_159,12162.48,not_affordable,not_recommended,none,,none,Baseline found no eligible safe plan within 90 days.
request_160,643.61,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-06-16,none,Baseline selected supplied installment option payment_option_454.
request_161,0,not_affordable,not_recommended,none,,none,Baseline found no eligible safe plan within 90 days.
request_162,4404851.23,not_affordable,not_recommended,none,,none,Baseline found no eligible safe plan within 90 days.
request_163,14714199.11,affordable_with_plan,installments,2024-09-10:6692053.33|2024-10-11:6692053.33|2024-11-11:6692053.33,2024-09-15,none,Baseline selected supplied installment option payment_option_462.
request_164,27018000,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,Baseline selected supplied installment option payment_option_465.
request_165,80600,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,Baseline forecast keeps the balance above the minimum after full payment.
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,Baseline selected supplied installment option payment_option_471.
request_167,43802,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,Baseline forecast keeps the balance above the minimum after full payment.
request_168,46092.3,affordable_with_plan,partial_payment,2026-01-07:46092.3|2026-01-15:3287.7,2026-01-15,none,Baseline splits the request across two safe payments.
request_169,41976,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,Baseline forecast keeps the balance above the minimum after full payment.
request_170,35269976.18,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-08-15,none,Baseline selected supplied installment option payment_option_483.
request_171,87.26,not_affordable,not_recommended,none,,none,Baseline found no eligible safe plan within 90 days.
request_172,10200,affordable_with_plan,installments,2024-06-05:5304|2024-07-03:5304,2024-06-05,none,Baseline selected supplied installment option payment_option_489.
request_173,74300.05,affordable_with_plan,installments,2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33,2025-11-15,none,Baseline selected supplied installment option payment_option_491.
request_174,1146.2,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,Baseline selected supplied installment option payment_option_494.
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.3,2024-09-06,none,Baseline forecast keeps the balance above the minimum after full payment.
request_176,456.96,not_affordable,not_recommended,none,,none,Baseline found no eligible safe plan within 90 days.
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.6,2026-01-05,none,Baseline forecast keeps the balance above the minimum after full payment.
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,Baseline selected supplied installment option payment_option_506.
request_179,10083768.99,affordable_later,wait,2025-06-17:41648000,2025-06-17,none,Baseline forecast finds a later safe full-payment date.
request_180,0,not_affordable,not_recommended,none,,none,Baseline found no eligible safe plan within 90 days.
request_181,426.44,not_affordable,not_recommended,none,,none,Baseline found no eligible safe plan within 90 days.
request_182,65714,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,Baseline forecast keeps the balance above the minimum after full payment.
request_183,26022739.53,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67,2026-04-15,none,Baseline selected supplied installment option payment_option_521.
request_184,31103.03,not_affordable,not_recommended,none,,none,Baseline found no eligible safe plan within 90 days.
request_185,513.21,affordable_later,wait,2025-12-15:1257.3,2025-12-15,none,Baseline forecast finds a later safe full-payment date.
request_186,14827.21,affordable_later,wait,2026-01-15:26554,2026-01-15,none,Baseline forecast finds a later safe full-payment date.
request_187,44971.01,affordable_later,wait,2024-10-16:187500,2024-10-16,none,Baseline forecast finds a later safe full-payment date.
request_188,215.63,not_affordable,not_recommended,none,,none,Baseline found no eligible safe plan within 90 days.
request_189,488.4,affordable_now,full_payment,2026-07-04:488.4,2026-07-04,none,Baseline forecast keeps the balance above the minimum after full payment.
request_190,796.5,affordable_later,wait,2024-12-16:2557.5,2024-12-16,none,Baseline forecast finds a later safe full-payment date.
request_191,664.4,affordable_now,full_payment,2025-05-03:664.4,2025-05-03,none,Baseline forecast keeps the balance above the minimum after full payment.
request_192,297.26,not_affordable,not_recommended,none,,none,Baseline found no eligible safe plan within 90 days.
request_193,132.55,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,2024-04-18,none,Baseline selected supplied installment option payment_option_549.
request_194,45781.81,affordable_later,wait,2025-09-23:132800,2025-09-23,none,Baseline forecast finds a later safe full-payment date.
request_195,1074.03,affordable_with_plan,installments,2026-01-09:405.74|2026-02-08:405.74|2026-03-10:405.74,2026-01-15,none,Baseline selected supplied installment option payment_option_555.
request_196,762.3,affordable_now,full_payment,2024-06-03:762.3,2024-06-03,none,Baseline forecast keeps the balance above the minimum after full payment.
request_197,0,not_affordable,not_recommended,none,,none,Baseline found no eligible safe plan within 90 days.
request_198,185800,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,Baseline forecast keeps the balance above the minimum after full payment.
request_199,23674000,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,Baseline selected supplied installment option payment_option_569.
request_200,21717000,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,Baseline forecast keeps the balance above the minimum after full payment.
request_201,23997000,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,Baseline forecast keeps the balance above the minimum after full payment.
request_202,123900,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,Baseline forecast keeps the balance above the minimum after full payment.
request_203,1442.1,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,none,Baseline selected supplied installment option payment_option_583.
request_204,0,not_affordable,not_recommended,none,,none,Baseline found no eligible safe plan within 90 days.
request_205,10621000,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,Baseline forecast keeps the balance above the minimum after full payment.
request_206,1404.7,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,Baseline selected supplied installment option payment_option_592.
request_207,7986.33,affordable_later,wait,2026-07-16:11830,2026-07-16,none,Baseline forecast finds a later safe full-payment date.
request_208,4413000,affordable_now,full_payment,2024-06-07:4413000,2024-06-07,none,Baseline forecast keeps the balance above the minimum after full payment.
request_209,2204.53,not_affordable,not_recommended,none,,none,Baseline found no eligible safe plan within 90 days.
request_210,1114.26,affordable_with_plan,partial_payment,2026-04-06:1114.26|2026-04-15:245.76,2026-04-15,none,Baseline splits the request across two safe payments.
request_211,877.29,affordable_later,wait,2024-09-15:1788.6,2024-09-15,none,Baseline forecast finds a later safe full-payment date.
request_212,9947518.86,not_affordable,not_recommended,none,,none,Baseline found no eligible safe plan within 90 days.
request_213,3362.4,affordable_with_plan,installments,2026-01-21:1165.63|2026-02-20:1165.63|2026-03-22:1165.63,2026-01-07,none,Baseline selected supplied installment option payment_option_610.
request_214,69750,affordable_with_plan,installments,2024-12-04:36270|2025-01-01:36270,2024-12-04,none,Baseline selected supplied installment option payment_option_614.
request_215,29986,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,Baseline selected supplied installment option payment_option_616.
request_216,705.78,affordable_later,wait,2026-08-15:3332.4,2026-08-15,none,Baseline forecast finds a later safe full-payment date.
request_217,21460.96,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-03-16,none,Baseline selected supplied installment option payment_option_622.
request_218,30804118.48,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-08-15,none,Baseline selected supplied installment option payment_option_625.
request_219,0,not_affordable,not_recommended,none,,none,Baseline found no eligible safe plan within 90 days.
request_220,208.08,not_affordable,not_recommended,none,,none,Baseline found no eligible safe plan within 90 days.
request_221,109800,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,Baseline forecast keeps the balance above the minimum after full payment.
request_222,34078,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,Baseline forecast keeps the balance above the minimum after full payment.
request_223,898.7,affordable_now,full_payment,2024-09-07:898.7,2024-09-07,none,Baseline forecast keeps the balance above the minimum after full payment.
request_224,10327000,affordable_with_plan,installments,2025-02-04:5370040|2025-03-04:5370040,2025-02-04,none,Baseline selected supplied installment option payment_option_645.
request_225,13422804.3,affordable_with_plan,installments,2026-07-20:7647120|2026-08-19:7647120|2026-09-18:7647120,2026-07-16,none,Baseline selected supplied installment option payment_option_647.
request_226,157000,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,Baseline forecast keeps the balance above the minimum after full payment.
request_227,12595.85,not_affordable,not_recommended,none,,none,Baseline found no eligible safe plan within 90 days.
request_228,0,not_affordable,not_recommended,none,,none,Baseline found no eligible safe plan within 90 days.
request_229,550.76,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-04-18,none,Baseline selected supplied installment option payment_option_659.
request_230,912.08,not_affordable,not_recommended,none,,none,Baseline found no eligible safe plan within 90 days.
request_231,35706,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-01-03,none,Baseline selected supplied installment option payment_option_666.
request_232,0,not_affordable,not_recommended,none,,none,Baseline found no eligible safe plan within 90 days.
request_233,0,not_affordable,not_recommended,none,,none,Baseline found no eligible safe plan within 90 days.
request_234,359.32,affordable_later,wait,2026-08-15:1213.3,2026-08-15,none,Baseline forecast finds a later safe full-payment date.
request_235,967.2,affordable_now,full_payment,2024-09-06:967.2,2024-09-06,none,Baseline forecast keeps the balance above the minimum after full payment.
request_236,6900019.57,not_affordable,not_recommended,none,,none,Baseline found no eligible safe plan within 90 days.
request_237,23826000,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,Baseline forecast keeps the balance above the minimum after full payment.
request_238,175.6,not_affordable,not_recommended,none,,none,Baseline found no eligible safe plan within 90 days.
request_239,376.94,not_affordable,not_recommended,none,,none,Baseline found no eligible safe plan within 90 days.
request_240,0,not_affordable,not_recommended,none,,none,Baseline found no eligible safe plan within 90 days.
request_241,21052000,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,Baseline selected supplied installment option payment_option_695.
request_242,0,not_affordable,not_recommended,none,,none,Baseline found no eligible safe plan within 90 days.
request_243,17468,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,Baseline forecast keeps the balance above the minimum after full payment.
request_244,48127.58,not_affordable,not_recommended,none,,none,Baseline found no eligible safe plan within 90 days.
request_245,50958.41,affordable_later,wait,2025-12-15:128500,2025-12-15,none,Baseline forecast finds a later safe full-payment date.
request_246,64086,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,Baseline selected supplied installment option payment_option_710.
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.3,2024-09-05,none,Baseline forecast keeps the balance above the minimum after full payment.
request_248,950.79,not_affordable,not_recommended,none,,none,Baseline found no eligible safe plan within 90 days.
request_249,207.92,affordable_later,wait,2026-02-14:643.2,2026-02-14,none,Baseline forecast finds a later safe full-payment date.
